kernel,prototypes,globaloptimization,gridsize,gridresolution,scale,maxF1score,areaunderROC,hyperparameters
RBF,50,gs,5,0.22,log,0.6900486159341205,0.6852288815478998,"bandwidth = 1.552707218511336 RegParam = 1.9347923344020317"
RBF,100,gs,5,0.22,log,0.6800673617829374,0.6787163756488913,"bandwidth = 3.0041660239464334 RegParam = 1.552707218511336"
RBF,150,gs,5,0.22,log,0.7330640859559552,0.7478527607361962,"bandwidth = 2.4108997064172097 RegParam = 1.552707218511336"
RBF,200,gs,5,0.22,log,0.7153507526270946,0.644502123643228,"bandwidth = 3.0041660239464334 RegParam = 1.552707218511336"
RBF,250,gs,5,0.22,log,0.7116960336451309,0.7155261915998112,"bandwidth = 2.4108997064172097 RegParam = 3.0041660239464334"
RBF,300,gs,5,0.22,log,0.6814431321792591,0.5500707881075979,"bandwidth = 3.0041660239464334 RegParam = 1.2460767305873808"
RBF,50,csa,3,0.22,log,0.7123794612674803,0.7360075507314772,"bandwidth = 3.5133992751868552 RegParam = 5.589291782549061"
RBF,50,csa,2,0.52,log,0.6931579357048337,0.6278433223218498,"bandwidth = 3.981970286077763 RegParam = 9.278319129115465"
RBF,100,csa,3,0.22,log,0.7753379032570389,0.7706465313827278,"bandwidth = 3.295874215927387 RegParam = 0.06786258175289461"
RBF,150,csa,3,0.22,log,0.7172490483726103,0.7155261915998115,"bandwidth = 2.4054959603135035 RegParam = 21.323914453413746"
Polynomial,50,csa,3,0.42,log,0.7704741379310345,0.7857008022652195,"degree = 2.0 offset = 2.8508526688868208 RegParam = 1.6245483812101076"
Polynomial,50,csa,2,0.42,log,0.8195953141640043,0.8181217555450683,"degree = 2.0 offset = 2.457184958301155 RegParam = 6.730083940666822"
Polynomial,100,csa,2,0.42,log,0.6716146401804555,0.7109957527135442,"degree = 8.0 offset = 1.5605031604333586 RegParam = 29.983051986421508"
Polynomial,150,csa,2,0.42,log,0.6673638178534081,0.5706937234544597,"degree = 4.0 offset = 0.45808651776734255 RegParam = 2.192059188946215"
Polynomial,50,csa,4,0.32,log,0.7974091708488826,0.8384615384615387,"degree = 2.0 offset = 2.0980419385378584 RegParam = 1.5713588496660011"
Polynomial,50,csa,3,0.4,log,0.7309688581314879,0.7668711656441719,"degree = 2.0 offset = 3.042541559371949 RegParam = 2.9042833076465566"
Linear,50,csa,10,0.12,log,0.6639344262295083,0.41146767343086355,"RegParam = 6.038068102831398"
Linear,50,csa,5,0.25,log,0.6639344262295083,0.41170363378952335,"RegParam = 9.437257515311098"
Linear,50,csa,2,0.55,log,0.6639344262295083,0.41146767343086355,"RegParam = 6.801012498770002"